revenue,popularity,budget,vote_average,vote_count
123509,0.037073,10500000,8.5,2
9622846,5.759545,12000000,6.4,35
225933435,43.734885999999996,10000000,7.9,2811
163876815,33.124871,10000000,6.1,1071
85300000,10.892398,10000000,6.5,249
90449929,14.754281,28000000,5.8,568
118587880,53.727146,10000000,6.1,1306
103166989,8.9876,10000000,5.7,418
139352633,29.244768,10000000,5.9,903
91196419,14.447723000000002,10000000,5.6,261
57231524,5.882208,6000000,6.0,77
52293982,17.3393,13800000,6.7,291
50100000,19.524972,10000000,7.2,234
50752337,8.932837,10000000,6.4,198
183474602,35.695442,10000000,5.8,865
41205099,26.598884,12000000,6.5,755
59217789,23.316208,10000000,6.1,720
40485039,25.929893,10000000,6.7,454
37402877,8.305997999999999,10000000,7.0,103
136836156,21.258991,10000000,6.9,459
44460850,5.699058,10000000,6.6,67
36230219,36.582038,12305523,5.9,748
57500000,34.224204,10000000,6.4,742
64188367,38.179483000000005,10000000,5.8,1102
33583175,30.934688,10000000,5.8,816
33526835,7.499639,20000000,6.0,100
104303851,45.946524,10000000,6.2,983
25754284,4.928776999999999,10000000,6.4,69
